Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2000-02-28,4.044642925262451,38.695552825927734,37.0,17.78125,65.28125,37.28125,32.30787658691406,,88.0,56.8125,104.5,56.1875,36.375,51.95833206176758,24.65625,31.125,43.21875,61.5625,45.78125,3.484375,32.1875,44.1875,23.0625,6.4296875,25.53125,,44.853721618652344,26.4375,46.1875,36.75
2000-02-29,4.09375,39.15143966674805,36.9375,17.53125,66.09375,37.34375,33.54100036621094,,92.5,57.5,102.75,56.5,36.0,53.08333206176758,24.3125,31.75,44.09375,61.5625,44.6875,3.5546875,32.125,43.9375,22.375,6.390625,25.46875,,44.0106086730957,25.8125,48.75,37.65625
2000-03-01,4.654017925262451,39.53438186645508,36.3125,17.4375,65.84375,37.625,34.21921920776367,,94.75,55.625,100.25,57.9375,36.6875,54.66666793823242,25.5,31.25,43.0625,60.0,45.40625,3.515625,31.875,44.125,22.5625,6.828125,25.40625,,49.40654373168945,25.625,49.0,38.03125
2000-03-02,4.357142925262451,38.969085693359375,35.9375,17.21875,66.375,37.84375,34.03424835205078,,96.25,55.125,103.125,57.875,36.84375,53.70833206176758,24.8125,30.875,43.03125,59.25,46.6875,3.6796875,32.0,43.65625,22.625,6.5625,25.40625,,49.687583923339844,24.6875,50.5625,38.5
2000-03-03,4.5714287757873535,38.95085144042969,35.9375,18.1875,68.71875,37.28125,36.00725173950195,,102.5,54.5,108.0,59.625,36.75,54.08333206176758,25.0625,32.3125,44.75,57.5,48.0625,3.671875,32.625,44.21875,22.5625,6.8046875,25.90625,,49.74378967285156,24.515625,52.625,37.84375
2000-03-06,4.488839149475098,37.71084213256836,35.125,18.34375,68.0625,37.0,35.513999938964844,,103.6875,53.875,103.0625,58.6875,35.25,55.625,24.5,31.5625,43.625,56.5,45.3125,3.5625,31.6875,43.71875,22.4375,6.5625,25.0,,51.26139831542969,24.25,50.5,36.46875
2000-03-07,4.388392925262451,36.872013092041016,34.75,16.90625,66.03125,40.5,35.513999938964844,,104.875,52.375,103.0,57.875,34.25,54.54166793823242,23.5625,29.875,41.375,53.9375,46.4375,3.484375,30.0,30.5,22.0625,6.125,25.25,,50.02482986450195,22.75,47.5625,40.0
2000-03-08,4.357142925262451,35.81435775756836,33.375,17.46875,66.1875,40.53125,34.465843200683594,,101.75,52.5,106.25,57.46875,35.5,52.66666793823242,23.75,30.75,41.28125,56.8125,47.78125,3.40625,32.4375,29.0,21.75,5.953125,24.625,,50.811737060546875,24.875,48.3125,39.8125
2000-03-09,4.3660712242126465,35.81435775756836,33.75,17.625,69.65625,41.625,35.760623931884766,,107.1875,55.3125,108.0,59.1875,36.34375,54.08333206176758,23.375,32.0,40.46875,61.125,50.0,3.34375,34.375,28.875,22.75,6.1328125,24.03125,,52.72279739379883,25.625,48.9375,40.21875
2000-03-10,4.4910712242126465,36.96318817138672,32.375,17.84375,68.1875,40.1875,34.650814056396484,,112.25,53.5,105.25,60.09375,35.4375,52.45833206176758,22.75,31.75,40.75,59.5625,50.5,3.359375,35.0,26.875,23.0,6.359375,24.4375,,51.54243469238281,24.5,47.9375,38.515625
2000-03-13,4.332589149475098,36.926719665527344,32.625,17.8125,68.09375,39.90625,34.465843200683594,,110.375,53.0,107.6875,61.0625,35.0,53.375,21.875,32.4375,39.5,57.0,49.0,3.59375,34.3125,28.625,22.5,6.2578125,24.5,,51.43001937866211,25.0625,47.6875,37.9375
